 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
-86840.03643274742,-7630.751446575099,-30236.00938749425,-34470.03328442971
-89303.7798170781,-7839.807312465587,-30451.74842497688,-34353.08895743954
-90978.19369771406,-7766.828866819009,-30354.13835694055,-34307.469047006256
-90524.63209922698,-7634.126559987851,-30196.26798585272,-34351.926666727864
-87908.11454154427,-7500.552535122935,-30060.727007475736,-34450.699025475864
-86864.66805513717,-7655.89715908732,-30253.80137608068,-34476.984676955304
-89392.35978035448,-7853.151303905404,-30454.765910478345,-34359.39214937593
-90974.3268459233,-7776.194247745782,-30347.27637139277,-34316.94618665531
-90431.0006417037,-7621.430769137236,-30183.72865721329,-34362.25317266621
-87757.50848740441,-7479.474840101581,-30055.67551322884,-34466.859336717054
-86895.5134624855,-7650.152760762306,-30269.961687321866,-34492.04975271818
-89476.84937439555,-7829.972544905251,-30454.050654655774,-34367.08114946856
-90957.98772072648,-7743.694811307766,-30332.72538575237,-34323.763468714176
-90318.23609092666,-7600.286018882516,-30176.10671235403,-34372.80319604912
-87600.19690992797,-7472.635206298257,-30061.554022020584,-34469.161566395946
-86925.48715180006,-7657.528836432557,-30281.897518861,-34475.19653739888
-89552.86765728804,-7831.984201906229,-30458.56570703575,-34354.78769001814
-90945.20252289803,-7748.768657299121,-30342.62720854607,-34323.87522743645
-90210.65714486327,-7601.358902616371,-30180.68881996737,-34368.17638494687
-87456.43048959142,-7469.461258585604,-30071.34408609201,-34464.132423893505
-86969.78830931048,-7663.720269646677,-30304.96451913888,-34469.60860128506
-89630.8528936926,-7833.034733895628,-30463.237221626907,-34354.22889640676
-90926.44940930002,-7743.180721185294,-30335.519353809283,-34326.71389898228
-90097.80318710842,-7593.379329845826,-30169.17767157289,-34371.61855359299
-87319.70486875832,-7477.127906933774,-30061.3975598094,-34465.49588030528
-87014.60355694337,-7685.468517001691,-30302.394068526515,-34461.338455836594
-89695.4717869129,-7849.127989903449,-30457.895154702088,-34350.09382368253
-90902.01895261038,-7753.306061423548,-30332.233647374356,-34326.51273328218
-89981.8870403632,-7594.206344390673,-30163.612087203517,-34378.54759437413
-87197.19495739878,-7487.365005894305,-30070.15944363588,-34476.02355194373
-87082.9551914877,-7704.6686654888,-30321.52716178026,-34465.69704600538
-89763.53284877932,-7849.530321303645,-30454.117709889146,-34350.742024271734
-90882.5505831898,-7741.481988606691,-30321.348347824616,-34333.70999499679
-89864.92036162858,-7580.191800617194,-30150.089281808054,-34381.72154208679
-87074.81915650597,-7482.984063981064,-30068.103083145987,-34477.36465661105
-87161.18629708128,-7705.093348633451,-30335.944036953933,-34461.71843549233
-89849.89998935461,-7835.001687407695,-30454.69885524498,-34345.779937002655
-90865.0491672813,-7719.465520318213,-30316.14039136653,-34333.821753719065
-89744.86914215912,-7561.773963186021,-30147.40707247342,-34390.863405569005
