 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
-7837.572138020056,2729.840902071107,10265.440972499964,-3305.286563072987
-7823.579945991033,2757.3782512400453,10036.492054044254,-3430.322221555975
-7961.28904358018,2682.1199276590264,10147.714334453862,-3273.0553475684346
-7983.4843258243,2643.1161335845154,10415.264715583888,-3111.563993878841
-7904.739130108253,2678.476593312811,10422.01494240939,-3186.2188203595665
-7828.0726466265505,2735.697059118397,10276.41567902752,-3310.203946853155
-7818.014361621662,2764.419050743467,10043.80107448114,-3437.385372803852
-7964.5300465262,2681.1588026474483,10141.344087284098,-3288.612161709328
-7981.763241501241,2644.747810929753,10419.44449179703,-3119.8341393273045
-7895.574914881578,2684.355102104557,10419.73506447495,-3185.4141575591752
-7823.222318079748,2736.658184129976,10267.139705078567,-3318.004705668057
-7809.319533028547,2769.895228135017,10042.929356447385,-3438.0112216486004
-7955.589348744077,2686.4114625944453,10145.43445651942,-3283.851240140348
-7978.522238555221,2642.33382252858,10426.239422111445,-3116.95076429257
-7894.434975914357,2676.6884537563865,10423.82543371027,-3188.185773871633
-7827.849129181997,2723.87298630154,10253.527492705283,-3319.926955691213
-7806.659675438366,2759.747536152308,10042.102341902537,-3435.6642884807934
-7941.284232292681,2685.7856137496965,10168.523808541751,-3275.2458185250543
-7973.448392563867,2636.5894242035656,10433.548442548328,-3116.123749747724
-7893.786775325153,2671.9945874207724,10437.437646083552,-3184.095404636312
-7824.094036113505,2725.415256668956,10292.330121079698,-3309.3322288193976
-7812.337018530014,2756.64064367302,10058.597929310552,-3432.266823323587
-7959.143276112471,2672.508677543244,10154.822189190649,-3281.191382550166
-7984.311340369147,2629.101589811038,10429.100445401722,-3115.6320113697066
-7906.571973153588,2662.137468115982,10430.150977391122,-3185.9058959371923
-7829.50315827169,2718.2626984432577,10281.713042463429,-3314.808406210948
-7807.620800449944,2755.903036105995,10054.552263564145,-3433.339707057441
-7953.398877787456,2674.2968170996687,10148.429590276432,-3284.164164562722
-7975.258883864747,2632.454351479334,10423.624268010171,-3115.430845669609
-7901.833403329063,2662.517447771722,10427.982858178955,-3188.6998639941057
-7836.588661264022,2711.601878595576,10268.3243475347,-3318.585851023895
-7817.902602899386,2748.482256946833,10036.134426132969,-3436.781875703559
-7963.121886625516,2666.5184100292217,10115.61722941604,-3287.092243086367
-7981.025633934217,2627.626374676988,10418.2598493409,-3113.5532991353634
-7892.266856702192,2668.1500873744594,10438.979916450968,-3174.975892898547
-7815.779187176131,2719.6261548550315,10280.930731407492,-3303.8113479389367
-7801.652884680377,2747.118800535059,10045.052772170637,-3436.6924687257374
-7954.561168499133,2659.0752791256045,10134.3926947585,-3298.044597869468
-7973.515447797233,2621.703162396331,10423.3113435878,-3121.4434649280865
-7893.585609625055,2657.801229691652,10434.867195471192,-3189.236305861033
-7829.838434438519,2704.449320369878,10274.18050458199,-3324.41965632673
-7801.429367235824,2745.3753644675453,10049.03138268368,-3448.9188729427906
-7934.981040356284,2668.708880985842,10157.504398525289,-3291.942571633169
-7960.886712179985,2625.726476398286,10441.706829274515,-3115.5649561363407
-7888.869391544985,2655.0519651236496,10439.15873040661,-3187.783442471438
-7822.574117490544,2702.594125580088,10284.238789586878,-3317.6917812456827
-7804.469204481746,2735.4288381849337,10055.625147297997,-3438.0112216486004
-7943.497054993756,2661.3775088045013,10151.022392633247,-3285.1699930632108
-7968.218084361325,2618.015124561205,10433.190814637044,-3111.429883412109
-7895.619618370488,2645.843046408063,10427.178195378568,-3180.9214569236588
-7822.797634935097,2697.743797033286,10276.348623794154,-3306.0688741289227
-7797.942495100796,2738.625137642043,10071.2266649278,-3429.897538411324
-7935.361020012024,2661.9139506714287,10166.758020729783,-3278.7103389156277
-7966.653462249454,2616.428150704879,10444.992535709443,-3106.914831032137
-7895.798432326131,2648.122924342504,10442.422085097083,-3177.5463435109077
-7829.614916993966,2697.989666222294,10283.009443641837,-3307.611144496339
-7811.800576663087,2733.6854021174195,10054.41815309741,-3430.5010355116174
-7954.963499899328,2652.1685900889147,10151.178854844437,-3278.21860053761
-7983.86430548004,2603.75471159872,10433.034352425855,-3104.746711819972
-7902.2133829848035,2636.745886414753,10435.917727460592,-3171.3102068078765
-7827.178576848338,2685.964427705339,10281.489525018877,-3294.0212838675125
-7803.664541681354,2723.805931068174,10061.593063067565,-3417.000581860612
-7945.240491061269,2647.1170958420157,10157.05736363618,-3275.1117080583226
-7976.622340276521,2596.333932439558,10437.907032717114,-3107.004238009958
-7901.498127162234,2627.4699124658005,10446.64656479914,-3175.0205963874578
-7827.111521614972,2681.024692180716,10297.918057193525,-3298.93866764768
-7804.245687037192,2717.256869942769,10065.79519102516,-3425.5389482425394
-7948.973232385306,2638.265805037714,10153.682250223428,-3284.164164562722
-7981.29385486768,2590.522478881178,10419.19862260802,-3115.1849764806007
-7894.233810214259,2632.3202410126023,10416.1587853621,-3181.793174957416
-7819.243707566704,2686.903200972462,10295.70523449245,-3304.101920616856
-7798.791861390097,2721.68251534492,10069.70674630484,-3427.5059017546064
-7940.703086936843,2643.943148129362,10155.425686290942,-3280.140850560767
-7975.370642587023,2593.718778338287,10440.477483329474,-3103.2491449414665
-7902.503955662723,2624.072447308594,10450.893396245649,-3169.589122484818
-7836.588661264022,2669.021805408217,10288.284455333289,-3303.6325339832943
-7815.421559264846,2707.377398893523,10052.18297865188,-3433.451465779718
-7958.629185989998,2628.7886653886635,10140.58412797262,-3290.065025098923
-7990.480421838811,2581.984112499251,10422.149052876122,-3114.6038311247626
-7913.501013934734,2616.003467560228,10431.089750658244,-3178.10513712229
-7841.014306666173,2668.5300670301995,10292.397176313065,-3300.1456618482666
-7818.036713366117,2703.845823269585,10056.988603709771,-3431.5292157565614
-7955.902273166451,2628.1851682883703,10140.561776228164,-3286.689911686172
-7988.736985771297,2577.2231909302704,10416.494061528929,-3112.167490979134
-7909.656513888421,2606.079293022072,10435.44834082703,-3176.5405150104184
-7829.659620482877,2664.4620495393337,10287.74801346636,-3292.680179200194
-7800.915277113352,2707.578564593621,10051.780647251684,-3414.765407415081
-7947.4756655068,2623.938336841862,10159.337241570622,-3274.93289410268
-7974.34246234208,2579.011330486695,10446.668916543596,-3093.235563425489
-7887.349472922025,2619.646801906443,10465.757306308426,-3151.685375176117
-7824.608126235978,2660.1481628594597,10311.262048633344,-3285.997007608057
-7805.922067871341,2692.401730108468,10076.188752196878,-3422.499110996617
-7935.338668267569,2626.4417322208565,10164.858122451082,-3270.194324278155
-7962.227816847303,2582.587609599544,10451.765114279404,-3083.244333653967
-7884.957836265306,2610.929621568873,10462.896283018146,-3153.3170525213545
-7813.678123197333,2662.830372194096,10312.111414922643,-3278.419766237708
-7785.894904839386,2704.9187070034395,10080.547342365664,-3403.254259020598
-7923.648705917443,2629.034534577672,10160.432477048931,-3258.5937689058505
-7956.975156900306,2581.581781099055,10457.956547493524,-3076.1588306616345
-7878.744051306731,2618.037476305661,10474.653300601638,-3133.4687034450417
-7808.984256861718,2670.4299653089006,10325.745979040385,-3258.102030527834
-7788.510058940657,2706.77390179323,10092.550229138164,-3391.0055030590897
-7935.04809558965,2627.8945956104512,10164.20992186188,-3258.6384723947613
-7975.392994331479,2576.172658940871,10444.992535709443,-3081.791470264372
-7897.519516649189,2606.615734888999,10450.64752705664,-3146.05273557338
-7817.969658132752,2661.824543693608,10306.367016597633,-3265.1204782868003
-7786.788974617598,2704.2481546697804,10101.870906576029,-3384.6352558893277
-7925.95093559634,2626.3970287319457,10179.140887158024,-3242.20994022011
-7963.613625003532,2574.7644990401864,10464.12562896319,-3059.059746153325
-7889.539943878644,2607.330990711569,10478.877780303692,-3119.655325371662
-7819.467225011257,2658.874113425507,10324.024894717324,-3249.809533334915
-7795.327340999525,2693.2510963977693,10097.914647807438,-3385.484622178629
-7932.499996721744,2617.523386183189,10177.173933645956,-3245.272129210488
-7967.927511683406,2566.583760569544,10461.041088228356,-3065.340586345266
-7891.775118324175,2597.652685362421,10476.284977946876,-3130.5182731769414
-7815.622724964944,2649.8663604100184,10333.077351221724,-3255.017489793001
-7791.058157808561,2685.2715236272247,10093.51135414974,-3391.027854803545
-7932.544700210656,2610.1249587684824,10165.036936406725,-3257.0514985384348
-7964.395936059468,2564.6615105463875,10463.030393484878,-3075.175353905601
-7885.918961276885,2596.646856861932,10481.470582660508,-3136.2850232464107
-7811.018265607151,2651.609796477532,10335.290173922798,-3262.88530384127
-7788.085375796006,2689.943038218384,10098.696958863373,-3396.772253128559
-7931.561223454621,2612.404836702924,10166.82507596315,-3259.26432123951
-7975.080069909105,2557.0842691760386,10439.136378662157,-3077.857563240238
-7895.507859648212,2587.5720486130776,10469.601806354738,-3139.4142674701534
-7820.428350022835,2640.7021451833425,10341.839235048205,-3261.7006613851386
-7796.891963111397,2677.806040979152,10105.648351388974,-3390.804337358992
-7935.003392100739,2604.0229325321834,10172.68123301044,-3254.749268859538
-7963.211293603336,2557.643062787421,10457.464809115509,-3071.4202608371093
-7890.344606679036,2584.599266600522,10471.300538933345,-3139.168398281145
-7821.143605845405,2631.6720404233984,10321.923830738526,-3269.523771944496
-7797.16018404486,2669.222971108314,10088.817487814127,-3405.131805554844
-7940.546624725655,2593.5399643826445,10152.452904278389,-3266.618045165306
-7980.846819978574,2542.689745746821,10435.53774780485,-3082.171449920112
-7901.766348095697,2576.396176385424,10463.142152207154,-3140.8000756263827
-7828.139701859916,2629.101589811038,10324.740150539894,-3263.0641177969123
-7799.73063465722,2668.4406600523785,10095.18773498389,-3393.1736222712548
-7944.257014305236,2587.7285108242645,10150.888282166516,-3263.555856174929
-7980.489192067289,2542.354469579991,10445.417218854096,-3074.460098083031
-7900.648760872932,2575.815031029586,10471.83698080027,-3137.0002790689805
-7820.9200884008515,2630.8897293674627,10321.588554571696,-3259.6666526397053
-7791.035806064106,2671.3910903204787,10080.99437725477,-3395.0064653165896
-7927.336743752568,2595.5292696391666,10168.747325986304,-3265.7910306204594
-7963.770087214719,2543.561463780578,10461.488123117462,-3083.6466650541624
-7885.18135370986,2574.3845193844463,10484.443364673063,-3143.683450661117
-7808.2913527836035,2629.3698107445016,10340.43107514752,-3267.065080054412
-7781.335148970503,2669.200619363859,10100.440394930887,-3404.751825899104
-7921.368827983002,2594.165813227393,10168.233235863834,-3276.1845917921773
-7956.5281220112,2546.578949282044,10457.0177742264,-3089.7039878015507
