 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
9874.128982320904,13134.17561461635,-22079.299042141323,-27525.726261821543
12735.778121444955,14413.768281193768,-21843.599896860112,-26721.823420741966
12534.47831088046,13632.016018869404,-22199.81964824434,-27334.350625795203
9502.710044707066,12038.202528739275,-22516.946198576235,-28336.424033215528
8332.260946304912,12094.618331744472,-22449.846261721406,-28136.174754640437
9842.702429616742,13118.97642838674,-22092.330109158767,-27530.88951479072
12704.619789674258,14401.251304298796,-21852.13826324204,-26732.57460982497
12547.576433131271,13645.538824264864,-22190.49897080648,-27322.3477390227
9515.517594279956,12047.545557921596,-22508.18431474976,-28324.80112609877
8323.78963515635,12101.81559345908,-22450.002723932597,-28136.51003080726
9832.89001380086,13133.84033844952,-22091.972481247485,-27527.26853218896
12693.823897102344,14412.270714315262,-21850.014847518785,-26720.974054452665
12554.10314251222,13658.27931860439,-22191.124819651228,-27309.048451071794
9527.386370585726,12057.00034582619,-22500.38355593485,-28310.920692792024
8322.225013044479,12100.854468447504,-22445.42061631925,-28127.90460919197
9798.714196528696,13110.818041660554,-22103.99771976444,-27535.00223577049
12657.144684451188,14381.380603478028,-21864.63288839256,-26733.84865925892
12556.9641658025,13656.669993003608,-22196.600997042777,-27314.65873893008
9531.02970493194,12050.38422946742,-22508.63134963886,-28326.388099955097
8307.517565192886,12085.431764773342,-22444.63830526332,-28140.555696553674
9776.78713521804,13098.30106476558,-22092.84419928124,-27538.667921861164
12639.442102842582,14386.789725636212,-21841.252963692303,-26728.417185356284
12571.895131098643,13669.119914665212,-22168.504854262454,-27293.02225029734
9540.819769003365,12045.131569520425,-22489.475904640665,-28316.195704483474
8304.16480352459,12074.501761734697,-22428.00860738857,-28138.74520525279
9758.07872510895,13088.868628605442,-22081.08718169775,-27545.619314386764
12624.466434057527,14381.067679055654,-21833.74277755532,-26733.513383092093
12577.863046868211,13678.84292350327,-22167.610784484245,-27295.32447997624
9543.501978338,12060.621328427953,-22490.861712796894,-28322.610655142147
8301.303780234311,12093.657206732894,-22432.81423244646,-28145.58483905612
9730.74254164011,13091.059099562062,-22085.95986198901,-27545.93223880914
12594.425689509591,14387.169705291952,-21838.03431249074,-26727.076080688967
12584.993253349454,13704.100394737769,-22166.44849377257,-27276.48195940041
9547.927623740152,12064.130552307432,-22490.16880871878,-28312.954701537456
8281.991873024926,12068.712659920771,-22434.20004060269,-28142.03091168772
9705.06038726096,13070.383735940904,-22094.09589697074,-27551.07314003386
12566.195436262542,14363.275690469229,-21851.154786486004,-26742.38702564085
12585.01560509391,13695.047938233369,-22174.47277003202,-27283.29924145928
9542.205577159591,12045.466845687251,-22505.189180992747,-28327.438631944497
8282.304797447301,12067.57272095355,-22446.225279119644,-28148.602324557585
9691.20230569867,13062.82884631501,-22104.668272098097,-27553.21890750157
12541.228537705963,14346.690696083391,-21860.72133311288,-26743.124633207877
12588.122497573197,13693.550371354864,-22182.67586024712,-27273.039790754294
9547.614699317775,12042.829339841526,-22511.17944850677,-28316.79920158377
8266.099782717203,12049.2442905002,-22446.78407273103,-28146.36715011205
9672.404488611755,13057.196206712271,-22101.337862174256,-27554.58236391334
12529.583278844748,14355.273765954227,-21852.71940859788,-26742.610543085404
12599.655997712136,13708.973075029024,-22166.761418194943,-27259.047598725272
9561.875112280264,12050.987726567711,-22491.04052675253,-28304.01400375533
8276.448640400009,12057.559139437572,-22429.57322950044,-28144.66841753345
9655.037183169983,13044.120436205916,-22085.334013144256,-27563.6571721622
12502.738833753923,14342.26505068124,-21835.12858571155,-26756.423921158785
12606.026244881898,13724.887517081204,-22147.65067668565,-27261.12631095961
9566.479571638058,12059.637851671918,-22485.89962552781,-28317.91678880653
8247.056096441282,12037.196700238788,-22442.31372383997,-28167.109568966574
9616.011037351018,13030.19529941026,-22105.07060349829,-27577.58230895785
12472.698089205993,14342.488568125793,-21843.242268948827,-26749.360769910905
12603.902829158644,13730.944839828591,-22149.01413309743,-27241.926162472508
9572.022804262971,12061.984784839724,-22484.670279582773,-28303.477561888405
8245.15619816258,12035.542671149096,-22436.5469737705,-28151.731568781328
9595.603894663322,13017.00777018163,-22099.10268772873,-27574.25189903401
12452.46976047394,14330.55273658666,-21847.08676899514,-26758.033246759565
12620.01843691092,13746.3451917583,-22150.601106953756,-27239.646284538067
9595.358025474314,12074.01002335668,-22486.100791227916,-28300.30361417575
8239.411799837566,12028.993610023692,-22438.4468720492,-28161.43222587493
9574.012109519495,13007.351816576936,-22100.33203367377,-27584.444294505636
12420.819690325225,14318.415739347429,-21839.57658285816,-26768.695028864742
12609.513117016926,13742.455988223075,-22139.268772514915,-27244.07192994022
9587.42315619268,12070.120819821455,-22473.762628288583,-28310.20543696945
8226.53719503131,12029.440644912798,-22422.48772650811,-28173.34570566961
9564.17734195916,13019.131185904884,-22082.785914276352,-27588.109980596302
12409.93439077549,14328.094044696576,-21826.165536184973,-26768.42680793128
12629.45087307106,13764.003069877992,-22121.767356606408,-27226.5258105428
9608.165575047204,12087.130497351944,-22458.87636648135,-28294.76038155084
8225.307849086268,12031.988743780705,-22420.52077299604,-28164.136786954023
9533.868376477763,12995.304226315526,-22091.391335891647,-27588.73582944105
12389.929579487987,14316.962875957834,-21829.451242619903,-26766.32574395248
12644.493597089482,13778.263482840475,-22127.690568887065,-27218.076851138696
9621.37545602029,12084.358881039489,-22475.26019516709,-28300.37066940912
8225.330200830722,12025.462034399752,-22433.574191757943,-28177.63724060503
9526.335838596326,13005.831897953976,-22096.59929234973,-27592.490922509543
12369.20951237792,14316.828765491102,-21834.34627465561,-26773.366543455904
12647.667544802136,13792.21097138059,-22122.013225795417,-27214.277054581293
9624.86232815532,12101.72618648126,-22466.78888401853,-28300.97416650941
8209.125186100626,12021.550479120076,-22425.99695038759,-28181.973479029355
9493.54582948039,12985.894141899842,-22089.3126236573,-27605.499637782534
12351.037544135756,14316.225268390808,-21814.006187201285,-26782.39664821585
12657.88229201821,13809.332407633354,-22094.90055977113,-27210.119630112607
9634.987668393573,12107.515288295184,-22437.68691273772,-28293.79925653926
8209.952200645472,12018.980028507714,-22401.11945880884,-28179.939470283924
9483.241675286494,12980.954406375218,-22067.8102454913,-27605.83491394936
12332.418541004485,14309.519745054216,-21799.41049807197,-26784.25184300564
12665.92892002212,13821.49175661704,-22081.869492753685,-27207.705641711436
9631.94783114765,12105.034244660646,-22438.40216856029,-28306.629157856605
