 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
-2832.65892656552,19397.80496332705,-21910.54337150376,-35087.63433547429
-2858.2293222223907,19406.79036459808,-21913.02441513829,-35068.210669542634
-2828.635612563564,19413.94292282378,-21812.955655211885,-35086.47204476262
-2802.1711471284807,19406.32097796452,-21771.64963145848,-35111.14837064128
-2805.6580192635083,19403.70582386325,-21804.439640574416,-35109.874321207324
-2836.950461500938,19407.95265530976,-21898.942816131454,-35080.8841086488
-2862.85613332464,19412.91474257884,-21909.828115681183,-35068.97062885411
-2835.698763811441,19412.51241117864,-21823.952713483897,-35098.09495187938
-2809.1001879096257,19409.718443121725,-21789.799247956187,-35123.173609158235
-2813.6599437785085,19413.339425723487,-21816.33076862464,-35119.105591667365
-2843.2983569262456,19423.04008281709,-21896.57353121919,-35084.303925550455
-2856.6199966216086,19440.72031268124,-21907.749403446844,-35056.185431025675
-2820.633688048564,19454.377228543428,-21819.92939948194,-35074.06682658992
-2791.710530723397,19455.092484366,-21780.25505307377,-35098.43022804621
-2795.1303476250587,19452.320868053543,-21811.65925403348,-35099.16783561323
-2831.407228876022,19454.824263432536,-21895.09831608514,-35069.350608509856
-2860.3974414345557,19457.215900089253,-21909.91752265901,-35055.93956183667
-2835.1846736889693,19455.65127797738,-21825.29381815121,-35084.773312184014
-2817.3032781247234,19451.918536653346,-21781.4396955299,-35107.34857408387
-2816.9680019578936,19452.94671689829,-21805.89250396401,-35103.39231531529
-2846.2711389388014,19453.930193654323,-21891.27616778328,-35073.15040506726
-2864.644272881064,19461.46273153576,-21905.693042956955,-35049.92694257819
-2834.022382977293,19470.93987118481,-21809.826410988146,-35067.94244860917
-2808.65315302052,19470.80576071808,-21768.140407578994,-35091.434132031696
-2805.099225652126,19474.56085378657,-21802.539742295718,-35092.59642274337
-2838.336269657168,19478.51711255516,-21893.600749206635,-35065.617867185814
-2871.506258428843,19477.51128405467,-21914.81255469472,-35052.11741353481
-2858.9222263005054,19472.57154853005,-21830.65823682049,-35081.75582668255
-2825.059333450715,19468.54823452809,-21788.972233411343,-35110.09783865188
-2825.2381474063573,19466.268356593653,-21818.185963414428,-35113.62941427582
-2859.056336767237,19473.018583419154,-21901.066231854707,-35086.51674825153
-2877.608284665142,19490.2517783942,-21914.00789189433,-35060.879297361294
-2848.8639412956168,19505.897999512912,-21819.41530935947,-35075.56439346843
-2819.60550780362,19506.613255335484,-21778.55632049517,-35098.51963502403
-2815.0010484458267,19508.08847046953,-21803.545570796203,-35098.31846932393
-2846.047621494248,19512.29059842713,-21888.683365426463,-35069.23884978758
-2878.7482236323626,19510.86008678199,-21923.082700143183,-35051.31275073442
-2854.764801831818,19509.250761181207,-21845.924478283465,-35076.65962894674
-2821.2595368933125,19506.9038280134,-21811.7486610113,-35103.302908337464
-2826.6910107959525,19503.506362856195,-21842.92934452645,-35105.47102754963
-2855.0777262541924,19513.09526122752,-21916.71245297342,-35071.2281550441
-2874.344929974667,19527.48978465674,-21932.35867409213,-35037.74524185005
