 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
12985.447107010736,-99783.46226018218,8810.387111948385,3079.3774818631987
12972.259577782104,-99799.063777812,8792.1257367284,3073.8342492382826
12970.51614171459,-99812.45247274073,8780.771050545103,3074.9965399499583
12976.931092373265,-99808.7644349056,8786.560152359027,3072.470792826509
12986.7658599336,-99796.560382433,8802.541649644572,3074.8400777387715
12987.99520587864,-99786.39033870582,8815.483309684196,3069.520362558408
12972.237226037649,-99805.2552110261,8796.886658297379,3074.348339360755
12968.348022502423,-99820.87908040037,8783.989701746666,3075.8459062392603
12981.177923819772,-99818.15216757682,8794.047986751555,3074.1695254051124
12992.085575113962,-99805.52343195956,8813.717521872226,3077.4775835844976
12989.738641946156,-99799.57786793444,8821.026542309111,3077.790508006872
12967.47630446867,-99816.8557663984,8802.385187433385,3073.007234693436
12961.396629976824,-99832.6584497283,8789.398823904852,3069.877990469693
12971.410211492805,-99827.87517641488,8798.473632153706,3070.526191058897
12984.262464554604,-99817.05693209852,8815.706827128748,3079.310426629833
12990.543304746549,-99808.25034478313,8825.854519111457,3083.3113888873327
12977.959272618207,-99827.71871420369,8809.046007281066,3083.154926676146
12976.70757492871,-99840.95094692124,8799.971199032212,3082.909057487137
12982.7648976761,-99839.43102829826,8804.866231067925,3083.557258076341
12999.640464739856,-99825.81881592498,8819.998362064167,3083.8031272653493
13003.931999675277,-99815.08997858645,8828.067341812533,3080.0927376857685
12981.826124408975,-99841.04035389904,8804.955638045745,3085.9712464775143
12978.294548785036,-99858.318252363,8794.584428618482,3091.8274035248046
12987.99520587864,-99854.94313895026,8801.98285603319,3083.981941220992
13001.42860429628,-99838.13462711986,8820.959487075745,3083.221981909512
12998.455822283724,-99833.97720265118,8827.79912087907,3085.166583677123
12981.513199986604,-99851.74683949316,8809.470690425718,3091.022740724414
12976.506409228614,-99867.46011584524,8797.132527486388,3100.1869559510897
12985.42475526628,-99866.78956351156,8802.318132200018,3097.7059123165504
13001.80858395202,-99852.30563310452,8818.634905652394,3096.7000838160616
13002.032101396571,-99843.25317660012,8825.832167367002,3094.576668092808
12982.653138953823,-99861.53690356456,8804.285085712087,3088.2958279008662
12978.495714485136,-99881.2287904297,8788.907085526835,3086.731205788995
12992.532610003069,-99881.0723282185,8797.959542031234,3101.438653640587
13008.603514266431,-99866.9236739783,8819.283106241597,3103.360903663743
13005.362511320414,-99863.81678149902,8821.138301031388,3101.2821914293995
12988.017557623096,-99885.18504919828,8797.64661760886,3095.984827993492
12987.57052273399,-99903.40172092937,8780.391070889364,3096.6106768382406
12999.126374617384,-99902.88763080689,8783.654425579838,3093.7273018035057
13016.96306669272,-99884.15686895336,8802.899277555856,3088.340531389777
13015.86783121441,-99880.08885146248,8802.742815344669,3084.406624365643
12991.57148499149,-99908.07323552053,8774.043175464056,3082.506726086942
12989.179848334772,-99922.17718627182,8762.39791660284,3090.016912223925
12997.360586805416,-99925.97698282922,8767.158838171821,3091.000388979958
13013.319732346505,-99912.72239836722,8788.817678549014,3096.3648076492323
13013.744415491155,-99903.04409301808,8796.529030386095,3090.106319201746
12995.483040271169,-99918.82442460352,8775.585445831472,3087.13353718919
12991.482078013669,-99933.39776198838,8761.25797763562,3085.948894733059
13000.33336881797,-99934.91768061134,8762.755544514126,3085.412452866132
13010.212839867216,-99924.85939560646,8773.551437086038,3081.925580731104
13013.498546302146,-99919.15970077035,8777.373585387897,3087.424109867109
12997.33823506096,-99936.32584051204,8758.441657834252,3089.748691290461
12991.057394869018,-99951.23445406371,8747.154026884322,3087.84879301176
12999.8192786955,-99950.42979126332,8751.311451353009,3081.6126563087296
13018.393578337858,-99936.72817191224,8771.11509694041,3092.341493647277
13015.33138934748,-99936.7952271456,8772.813829519013,3090.173374435112
12996.95825540522,-99959.25873032316,8751.758486242114,3084.004292965448
12996.33240656047,-99973.8991229414,8745.20942511671,3084.272513898911
13012.202145123738,-99974.97200667523,8752.026707175579,3095.7166070600283
13027.66955228681,-99964.62314899244,8767.53881782756,3093.794357036872
13019.354703349436,-99969.56288451709,8763.984890459167,3086.8876680001817
13005.966008420708,-99990.72998651623,8743.086009393455,3079.7574615189387
13000.847458940443,-100009.7513210477,8731.463102276695,3072.582551548785
13008.134127632871,-100015.78629205064,8736.358134312408,3081.210324908534
13024.205031896236,-100002.352893633,8760.676832279782,3080.137441174679
13021.902802217342,-99999.80479476508,8770.243378906653,3078.70692952954
13000.556886262524,-100022.42476015388,8749.791532730047,3073.431917838087
13000.623941495887,-100040.19439699584,8740.135579125355,3079.936275474581
13010.615171267413,-100043.43539994184,8746.617585017393,3083.758423776439
13022.819223740007,-100032.81832132558,8763.627262547883,3073.9013044716485
13019.935848705274,-100031.70073410282,8766.30947188252,3073.208400393534
13005.653083998332,-100052.37609772396,8749.568015285495,3081.433842353087
13003.596723508444,-100065.20599904133,8742.616622759893,3075.398871350154
13014.727892247189,-100064.75896415222,8752.183169386766,3073.6777870270957
13032.58693606698,-100052.93489133536,8772.769126030104,3076.404699850643
13035.112683190428,-100047.10108603252,8778.848800521946,3075.46592658352
13022.707465017733,-100064.80366764111,8759.82746599048,3075.2871126278774
13017.633619026376,-100080.38283352648,8748.785704229558,3075.980016705992
13024.495604574156,-100080.04755735963,8755.82650373298,3080.6962347860617
13038.95718323674,-100065.94360660836,8774.043175464056,3074.5271533163973
13035.112683190428,-100062.25556877322,8777.150067943343,3069.2968451138554
13015.934886447774,-100080.29342654864,8759.693355523748,3069.766231747417
13016.627790525888,-100092.83275518808,8752.987832187157,3072.761365504428
13027.177813908796,-100093.123327866,8758.553416556528,3069.185086391579
13043.606346083445,-100078.95232188134,8777.68650981027,3062.278397354889
13034.5762413235,-100079.4664120038,8777.552399343538,3058.568007775308
13015.420796325305,-100101.63934250348,8758.933396212267,3055.84109495176
13013.38678757987,-100117.9784677003,8750.77500948608,3059.283263597877
13028.518918576112,-100116.95028745536,8758.128733411877,3055.79639146285
13045.528596106602,-100102.75692972624,8776.59127433196,3057.070440896802
13037.213747169228,-100105.23797336078,8775.87601850939,3053.963548417514
13017.5218603041,-100127.92499398292,8755.357117099418,3053.874141439693
13016.627790525888,-100144.0406017352,8745.857625705914,3055.3270048292884
13028.898898231851,-100142.9900697458,8751.177340886277,3053.337699572766
13046.020334484618,-100133.95996498586,8765.191884659755,3052.845961194749
13044.746285050664,-100137.42448537642,8762.912006725313,3049.694365226551
13035.67147680181,-100152.71307858384,8746.327012339474,3053.2706443394
13035.96204947973,-100161.2961484547,8741.20846285921,3053.2259408504897
13045.260375173137,-100161.45261066587,8746.885805950858,3051.996594905448
13056.72682007871,-100145.35935465804,8764.029593948078,3047.682708225573
13046.623831584911,-100146.9463285144,8758.598120045439,3041.021888377892
13031.379941866391,-100163.2854537112,8742.30369833752,3050.879007682682
13031.20112791075,-100175.400099206,8737.162797112798,3052.823609450294
13039.6277355704,-100172.0920410266,8746.863454206403,3044.307594812822
13052.658802587845,-100158.1892559754,8764.87896023738,3040.150170344135
13047.026162985108,-100162.77136358872,8764.655442792826,3045.2016645910344
13033.548061078556,-100184.51961094375,8746.39406757284,3046.3192518137994
13039.068941959018,-100187.6041516786,8747.39989607333,3044.5981674907407
13049.931889764295,-100188.2523522678,8755.692393266248,3048.621481492696
13066.807456828054,-100175.31069222816,8774.780783031081,3047.213321592012
13060.861892802945,-100174.1931050054,8773.30556789703,3042.5194552563976
13046.668535073824,-100196.72366341636,8752.049058920033,3047.950929159037
13050.088351975484,-100211.11818684558,8744.941204183246,3051.594263505252
13062.270052703629,-100205.01616060927,8758.151085156333,3048.532074514875
13073.62473888692,-100195.60607619358,8775.227817920188,3054.0082519064254
13064.907558549352,-100198.66826518397,8772.813829519013,3049.023812892892
13053.597575854968,-100215.2532595698,8756.63116653337,3053.181237361579
13063.052363759562,-100223.23283234036,8754.820675232491,3058.143324630657
13075.05525053206,-100220.3047538167,8765.773030015593,3063.619502022207
13093.137811796403,-100199.31646577315,8790.136431471878,3068.022795679902
13081.224332001726,-100203.36213151958,8786.090765725467,3060.423202565098
13065.332241694005,-100223.03166664024,8769.617530061905,3061.339624087766
13068.6850033623,-100231.0112394108,8768.522294583594,3067.3298916017884
13080.531427923612,-100232.03941965572,8773.64084406386,3068.6933480135617
13093.7413088967,-100216.7061229594,8787.051890737044,3061.6078450212294
13087.795744871586,-100222.13759686204,8775.920721998302,3058.36684207521
13074.071773776028,-100244.69050701744,8750.909119952812,3056.690461241062
13069.936701051796,-100255.665213545,8742.840140204447,3049.672013482096
13083.660672147354,-100246.3668878516,8754.530102554572,3049.5155512709084
13100.670349677845,-100227.94905042042,8773.059698708023,3050.5213797713973
13086.722861137732,-100233.6040417676,8762.241454391653,3043.3911732901543
13073.15535225336,-100254.8158472557,8739.733247725158,3048.3532605592327
13082.565436669043,-100259.84498975814,8738.0121634021,3049.4708477819977
13092.02022457364,-100254.0111844553,8746.170550128289,3046.073382624791
13102.994931101195,-100242.6117947831,8759.179265401277,3038.9878796324588
13094.50126820818,-100246.99273669634,8751.333803097463,3046.3192518137994
13082.230160502217,-100264.67296656048,8733.407704044308,3051.236635593967
13083.414802958348,-100275.29004517676,8728.602078986416,3046.6098244917184
13098.859858376964,-100267.13165845055,8742.437808804252,3052.331871072277
13112.002684116684,-100252.2677483878,8759.82746599048,3051.7730774608945
13107.688797436813,-100252.64772804354,8758.620471789895,3054.6341007511737
13095.30593100857,-100269.65740557402,8743.980079171668,3055.215246107012
13100.536239211113,-100273.79247829824,8745.388239072352,3056.6457577521514
13109.186364315316,-100271.24437943034,8755.82650373298,3055.9081501851265
13123.223259833248,-100253.1171146771,8772.724422541192,3053.3824030616765
13109.5439922266,-100256.1122484341,8764.901311981836,3046.296900069344
13099.038672332606,-100278.53104812278,8746.081143150466,3052.689498983562
13105.855954391474,-100284.99070227036,8747.131675139866,3055.5505222738416
