 EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3
31144.74191006922,1844.5330076853047,4450.83581815193,-1305.006600023103
31143.110232723982,1849.003356576366,4449.02532685105,-1309.0522657695135
31114.611758543462,1831.79251334578,4434.831969121929,-1303.1290534888572
31106.363964839456,1827.3892196880845,4435.815445877963,-1300.3127336874884
31116.17638065533,1837.6039669041595,4446.298414027502,-1304.1125302448906
31136.36000589848,1856.334728757707,4457.004899621595,-1312.2038617377118
31131.576732585043,1857.295853769285,4446.87955938334,-1315.9142513172926
31106.43102007282,1843.0577925512544,4430.607489419876,-1310.4604256701978
31096.328031579025,1839.1909407604865,4427.724114385142,-1301.0279895100582
31102.5418165376,1846.0976297971763,4435.904852855784,-1303.6654953557843
31123.597159814497,1866.8176969072456,4449.539416973522,-1310.5945361369295
31123.843029003507,1872.5397434878048,4446.857207638885,-1316.093065272935
31096.037458901104,1856.9605776024555,4429.35579173038,-1314.5284431610637
31084.414551784343,1853.1384293005976,4426.11478878436,-1320.518710675086
31091.1871303543,1862.101478827176,4433.379105732334,-1320.317544974988
31105.98398518372,1875.6242842226368,4446.343117516412,-1320.9880973086474
31106.654537517374,1881.525144758838,4445.337289015924,-1323.5361961765525
31081.75469419416,1866.8400486517007,4428.796998118996,-1330.1523125353233
31068.164833565337,1857.340557258196,4421.622088148843,-1336.5225597050858
31068.880089387905,1860.0227665928328,4427.053562051483,-1343.5186557195968
31090.29306057609,1879.8711156691447,4439.749352902098,-1347.5419697215525
31094.78576121161,1889.9517524184887,4442.3421552589125,-1341.5517022075298
31064.65560968585,1872.048005109788,4424.371352716846,-1334.5332544485634
31046.66245539933,1860.17922880402,4415.542413657,-1337.617795183396
31052.675074657807,1866.7059381849688,4421.823253848941,-1333.482722459164
31073.305734790058,1884.6320372381256,4435.010783077572,-1340.5235219625858
31076.345572035974,1890.4211390520504,4435.055486566483,-1342.535178963563
31047.3777112219,1872.8973713990893,4415.050675278982,-1341.417591740798
31033.318463959517,1862.9508451164777,4408.926297298229,-1341.194074296245
31036.20183899425,1864.18019106152,4413.9330880562175,-1340.165894051301
31055.31258050353,1880.943999403,4431.635669664821,-1335.6955451602394
31063.783891652096,1893.6621419980695,4438.45295172369,-1339.517693462097
31038.034682039583,1878.328845301729,4422.516157927055,-1334.8461788709378
31023.61780686591,1867.3764905186283,4415.743579357098,-1336.7907806385494
31028.93752204627,1867.84587715219,4417.956402058173,-1335.0249928265805
31046.841269354973,1880.6310749806255,4428.148797529793,-1333.6391846703511
31058.084196815995,1891.583429763726,4431.881538853829,-1329.481760201664
31040.04633904056,1884.2520575823853,4415.743579357098,-1327.6936206452394
31023.86367605492,1874.7302144444243,4406.936992041707,-1329.3476497349322
31025.24948421115,1874.4172900220503,4411.317933954947,-1319.8481583414268
31043.80143210905,1888.2530198398852,4424.840739350408,-1327.3359927339543
31055.22317352572,1902.75930199138,4429.534605686022,-1328.7888561235495
31033.11729825941,1890.9352291745224,4413.9330880562175,-1322.798588609527
31015.682937584275,1877.300665056785,4403.092491995393,-1330.353478235421
31019.147457974846,1878.462955768461,4408.1216344978375,-1329.5264636905747
31044.44963269825,1900.211203123475,4428.417018463257,-1323.1338647763569
31057.033664826595,1914.9186509750664,4436.128370300337,-1322.418608953787
31035.039548282573,1902.4016740800944,4417.755236358075,-1328.7218008901837
31012.88896952736,1889.8623454406677,4401.930201283718,-1329.4370567127537
31008.15039970284,1887.6942262285029,4402.444291406189,-1327.6712689007843
31024.690690599764,1901.6640665130697,4415.810634590463,-1324.4749694436753
31039.71106287373,1919.6348690551365,4427.232376007125,-1324.6537833993175
31015.14649571735,1907.654334027092,4410.625029876832,-1325.5031496886195
30992.057143695016,1891.0246361523436,4397.683369837209,-1319.1776060077675
30987.65385003732,1886.129604116631,4398.331570426413,-1318.328239718466
31003.635347322863,1897.9536769334889,4412.122596755337,-1323.0444577985356
31021.449687653745,1911.7670550068683,4427.120617284849,-1322.575071164974
31008.32921365848,1904.1451101476089,4419.476320681134,-1322.7538851206166
